Folder,File,Tags,Snippet
"captura etapa 1","Captura de ecr? 2025-11-11 095320.png","etapa1;fpleme;entry","TIMING DE ETAPAL ENTRADA TIMING DE ENTRADA - ETAPA 1 Etapa1 AEtapa 1  um estilo de timing de entrada visualizado por meio da ferramenta FPLEME. Ela serve para identificar oportunidades de posicionamen"
"captura etapa 1","Captura de ecr? 2025-11-11 095330.png","etapa1;fpleme;entry","Visualizagao: + Etapa 1 Compradora:  considerada uma Etapa 1 compradora o momento em que a ferramenta sai da linha de -4,00 e consegue fechar um box que faz a linha do FPLEME alcancar o nvel 0,00. "
"captura etapa 1","Captura de ecr? 2025-11-11 095336.png","etapa1;entry","TIMING DE ENTRADA - ETAPA 1 Quando isso acontece, existe um atalho visual que indica que a Etapa 1 ocorreu. Esse atalho  representado por um Post-it retangular verde destacado. "
"captura etapa 1","Captura de ecr? 2025-11-11 095341.png","etapa1;shark","O Post-it  exibido em verde destacado porque, alm da Etapa 1 ter ocorrido, o Shark tambm j estava azul. Veja "
"captura etapa 1","Captura de ecr? 2025-11-11 095349.png","etapa1;entry","TIMING DE ENTRADA - ETAPA 1 Essa condico favorece o possivel movimento, pois ha um alinhament forcas: a Etapa e o Ciclo esto em harmonia. No entanto, h outro atalho visual que tambm representa a Etapa"
"captura etapa 1","Captura de ecr? 2025-11-11 095354.png","etapa1;fpleme;shark;entry","O Post-it em verde acinzentado (opaco) tambm indica a Etapa 1, pois o FPLEME saiu do nivel -4,00 e alcangou o nivel 0,00. Porm, nesse caso, a chance de iniciar um ciclo comprador  menor. Isso ocorre p"
"captura etapa 1","Captura de ecr? 2025-11-11 095401.png","etapa1;shark;entry","TIMING DE ENTRADA - ETAPA 1 Quando o Shark ainda est vermelho, os pregos tendem a lateralizar, a menos que a linha do Shark mude para azul futuramente. Compare: o movimento de Etapa 1 com o Post-it em"
"captura etapa 1","Captura de ecr? 2025-11-11 095406.png","etapa1","Compare: o movimento de Etapa 1 com o Post-it em verde acinzentado (opaco) foi mais lateralizado, enquanto a operago de Etapa 1 com o verde destacado resultou em um movimento mais fluido: = WY EXE xa "
"captura etapa 1","Captura de ecr? 2025-11-11 095413.png","no_text",""
"captura etapa 1","Captura de ecr? 2025-11-11 095419.png","etapa1;fpleme;entry","TIMING DE ENTRADA - ETAPA 1 Se voc nunca alterou essas configurages no seu FPLEME, fique tranquilo, pois ele j estar configurado exatamente como nas representaces apresentadas. Reforco: Existe Etapa 1"
"captura etapa 1","Captura de ecr? 2025-11-11 095427.png","etapa1","Exemplo de boxes positivos que nao tm chance de virar Etapa 1: 126.426 "
"captura etapa 1","Captura de ecr? 2025-11-11 095432.png","etapa1;fpleme;entry","TIMING DE ENTRADA - ETAPA1 Posicionamento de Ordem na Etapa 1 de Compra: Normalmente, o FPLEME atingira a linha 0,00 no segundo ou terceiro box positivo a favor do movimento. Voc pode se perguntar: ""M"
"captura etapa 1","Captura de ecr? 2025-11-11 095437.png","etapa1","1 - Etapa 1 identificada (neste caso, a Etapa 1 foi confirmada no terceiro box positivo): 126.581 126.010 125.765 125.479 125.153 =0xX "
"captura etapa 1","Captura de ecr? 2025-11-11 095441.png","no_text",""
"captura etapa 1","Captura de ecr? 2025-11-11 095447.png","etapa1;entry","TIMING DE ENTRADA - ETAPA 1 2 - Nunca compre no topo do box positivo: "
"captura etapa 1","Captura de ecr? 2025-11-11 095452.png","no_text","3 - Posicione-se o mais prximo possivel da base do box positivo anterior (neste caso, posicione-se na base do segundo box): "
"captura etapa 1","Captura de ecr? 2025-11-11 095501.png","etapa1;entry","TIMING DE ENTRADA - ETAPA 1 Legenda:  Trago verde: = Indica o local mais recomendado para posicionar a ordem de entrada. + Topo, base e sombra do box positivo: Representam as partes especficas do box "
"captura etapa 1","Captura de ecr? 2025-11-11 095507.png","etapa1;entry","TIMING DE ENTRADA - ETAPA 1 Novo exemplo: 1 - Etapa 1 identificada (neste caso, a Etapa 1 foi confirmada no 3 box positivo): "
"captura etapa 1","Captura de ecr? 2025-11-11 095513.png","etapa1;entry","TIMING DE ENTRADA - ETAPA 1 2 - Se voc est pensando em comprar, NUNCA deve comprar no topo do box: "
"captura etapa 1","Captura de ecr? 2025-11-11 095517.png","no_text","3 - Posicione-se o mais prximo possivel da base do box positivo anterior (neste caso, posicione-se na base do 2 box) "
"captura etapa 1","Captura de ecr? 2025-11-11 095523.png","etapa1","Novo exemplo: 1 - Etapa 1 identificada (neste caso, a Etapa 1 foi confirmada no 2 box positivo): "
"captura etapa 1","Captura de ecr? 2025-11-11 095530.png","entry","2 - Se voc esta pensando em comprar, NUNCA deve comprar no topo do box: "
"captura etapa 1","Captura de ecr? 2025-11-11 095534.png","no_text","3 - Posicione-se o mais prximo possivel da base do box positivo anterior (neste caso, posicione-se na base do 1 box) "
"captura etapa 1","Captura de ecr? 2025-11-11 095541.png","etapa1;ppm;mm;entry","TIMING DE ENTRADA - ETAPA 1 Importante: Sempre uma Etapa 1 dentro de um cenrio ser mais segura do que uma Etapa 1 isolada. Como assim? Priorize realizar Etapas 1 que estejam dentro de cenrios de PPM ("
"captura etapa 1","Captura de ecr? 2025-11-11 095546.png","no_text","Exemplo: Qual das operages  mais segura? Op.1 ou Op.2? "
"captura etapa 1","Captura de ecr? 2025-11-11 095552.png","etapa1;ppm;entry","TIMING DE ENTRADA - ETAPA 1 Resposta: A Op.2  mais segura do que a Op.1, pois a Op.2  uma entrada de Etapa 1 dentro de um cenrio de Progresso de Prego em MAP (PPM), enquanto a Op.1  apenas um moviment"
"captura etapa 1","Captura de ecr? 2025-11-11 095606.png","etapa1;entry","TIMING DE ENTRADA - ETAPA 1 "
"captura etapa 1","Captura de ecr? 2025-11-11 095611.png","etapa1;stop;entry","TIMING DE ENTRADA - ETAPA 1 Para Trades em Etapa 1 Compradora, onde posicionar o STOP? O Stop deve ser posicionado abaixo do ltimo fundo formado. Ou seja, quando se inicia um ciclo comprador, o mercad"
"captura etapa 1","Captura de ecr? 2025-11-11 095617.png","etapa1;stop;entry","TIMING DE ENTRADA - ETAPA 1 Posicionamento do STOP no ltimo fundo formado a partir do ltimo ciclo comprador: EN "
"captura etapa 1","Captura de ecr? 2025-11-11 095625.png","etapa1;fpleme;stop;entry","TIMING DE ENTRADA - ETAPA 1 E se quiser deixar um STOP um pouco maior, qual seria o limite mximo? Resposta: O limite mximo seria 1 box negativo abaixo desse funco. Isso porque, se esse ltimo fundo for"
"captura etapa 1","Captura de ecr? 2025-11-11 095629.png","stop","Exemplo de limite maximo de STOP: "
"captura etapa 1","Captura de ecr? 2025-11-11 095633.png","etapa1;stop;entry","TIMING DE ENTRADA - ETAPA 1 Reforgo: E por isso que  importante evitar comprar no topo do Renko. Prefira comprar na base do box positivo anterior, pois isso reduz o tamanh do seu STOP. Exemplo: Compra"
"captura etapa 1","Captura de ecr? 2025-11-11 095641.png","etapa1;entry","TIMING DE ENTRADA - ETAPA 1 Aguardando e comprando na base do box positivo anterior: "
"captura etapa 1","Captura de ecr? 2025-11-11 095652.png","etapa1;fpleme;entry","TIMING DE ENTRADA - ETAPA 1 Agora que finalizamos a explicago sobre a Etapa 1 compradora,  hora de virar a pgina e falar sobre a Etapa 1 vendedora. A lgica segue o mesmo principio, mas com foco nas op"
"captura etapa 1","Captura de ecr? 2025-11-11 095656.png","etapa1","Identificago visual: Quando isso acontece, existe um atalho visual indicando que a Etapa 1 ocorreu. Esse atalho  mostrado atravs de um Post-it (retangular) vermelho destacado."
"captura etapa 1","Captura de ecr? 2025-11-11 095700.png","etapa1;shark;entry","TIMING DE ENTRADA - ETAPA 1 Esse Post it  representado em vermelho destacado porque, quando a Etapa 1 aconteceu, o Shark j estava vermelho. Veja: "
"captura etapa 1","Captura de ecr? 2025-11-11 095708.png","etapa1;fpleme;shark;entry","TIMING DE ENTRADA - ETAPA 1 Isso favorece o possvel movimento, pois h um alinhamento entre as forgas: a Etapa e o Ciclo esto alinhados. No entanto, h outro atalho visual que tambm indica a Etapa 1, ma"
"captura etapa 1","Captura de ecr? 2025-11-11 095712.png","etapa1;shark","Isso ocorre porque o mercado tentou entrar em Etapa 1, mas a linha do Shark ainda estava azul "
"captura etapa 1","Captura de ecr? 2025-11-11 095717.png","etapa1;shark;entry","TIMING DE ENTRADA - ETAPA 1 Nessa situago, com o Shark ainda azul, os precos tendem a lateralizar, a menos que a linha do Shark passe a ficar vermelha futuramente. Veja: o movimento de Etapa 1 com o v"
"captura etapa 1","Captura de ecr? 2025-11-11 100143.png","etapa1;shark;entry","TIMING DE ENTRADA - ETAPA 1 Nessa situago, com o Shark ainda azul, os precos tendem a lateralizar, a menos que a linha do Shark passe a ficar vermelha futuramente. Veja: o movimento de Etapa 1 com o v"
"captura etapa 1","Captura de ecr? 2025-11-11 100201.png","no_text",""
"captura etapa 1","Captura de ecr? 2025-11-11 100208.png","etapa1;fpleme;entry","Se voc nunca alterou essas configuragdes no seu FPLEME, fique tranquilo pois ele jd estar configurado exatamente como mostrado nas representages. Reforgo: Existe Etapa 1 com o FPLEME no nivel de +12,0"
"captura etapa 1","Captura de ecr? 2025-11-11 100213.png","no_text","NN "
"captura etapa 1","Captura de ecr? 2025-11-11 100217.png","etapa1;fpleme;entry","TIMING DE ENTRADA - ETAPA 1 Posicionamento de ordem em Etapa 1 de venda: Normalmente, o FPLEME alcangar a linha 0,00 no segundo ou terceiro box negativo a favor do movimento. Voc pode pensar: ""Mas iss"
"captura etapa 1","Captura de ecr? 2025-11-11 100221.png","etapa1","1 - Identificago da Etapa 1 (neste caso, confirmada no 3 box negativo) =0% cm a "
"captura etapa 1","Captura de ecr? 2025-11-11 100224.png","etapa1;entry","TIMING DE ENTRADA - ETAPA 1 2 - Se voc esta pensando na venda, NUNCA venda no fundo do box: "
"captura etapa 1","Captura de ecr? 2025-11-11 100229.png","no_text","3 - Posicione-se o mais prximo possivel do topo do box negativo anterior (nesse caso, posicione-se no topo do 2 box) "
"captura etapa 1","Captura de ecr? 2025-11-11 100236.png","entry","Legenda: + Traco vermelho: Representa o local mais indicado para posicionar a ordem de entrada. + Topo, base (fundo) e sombra do box negativo: Base (Fundo )"
"captura etapa 1","Captura de ecr? 2025-11-11 100241.png","etapa1;ppm;mm;entry","TIMING DE ENTRADA - ETAPA 1 Importante: Uma Etapa 1 dentro de um cenrio ser sempre mais segura do que uma Etapa 1 isolada. Como assim? Foque em realizar Etapas 1 que estejam dentro dos cenrios de PPM "
"captura etapa 1","Captura de ecr? 2025-11-11 100245.png","no_text",""
"captura etapa 1","Captura de ecr? 2025-11-11 100250.png","etapa1;mm;entry","TIMING DE ENTRADA - ETAPA 1 Resposta: A Opco 2  mais segura, pois representa uma entrada de Etapa 1 dentro de um CENRIO de MAP com MAP (MM), enquanto a Opgo 1  uma baixa em um movimento isolado. Essa "
"captura etapa 1","Captura de ecr? 2025-11-11 100256.png","no_text",""
"captura etapa 1","Captura de ecr? 2025-11-11 100302.png","etapa1;stop;entry","TIMING DE ENTRADA - ETAPA 1 Para trades em Etapa 1 vendedora, onde posicionar o STOP? O STOP deve ser posicionado acima do ltimo topo formado. Isso porque, ao iniciar um ciclo vendedor, o mercado deix"
"captura etapa 1","Captura de ecr? 2025-11-11 100306.png","stop","Posicionamento do STOP: O STOP ser colocado no ltimo topo formado a partir do ltimo ciclo vendedor. "
"captura etapa 1","Captura de ecr? 2025-11-11 100310.png","no_text",""
"captura etapa 1","Captura de ecr? 2025-11-11 100314.png","etapa1;fpleme;stop;entry","TIMING DE ENTRADA - ETAPA 1 E se eu quiser deixar um STOP um pouco maior? Qual  o limite mximo para o STOP? O limite mximo  1 box positivo acima desse topo. Isso ocorre porque, se o ltimo topo for rom"
"captura etapa 1","Captura de ecr? 2025-11-11 100318.png","stop","Exemplo de limite maximo de STOP. "
"captura etapa 1","Captura de ecr? 2025-11-11 100323.png","stop","Reforgo: Por isso,  importante NAO vender na base do Renko, mas sim no topo do box anterior. Essa estratgia planejada reduz o tamanho do seu STOP. Veja: Vendendo na base (fundo). "
"captura etapa 1","Captura de ecr? 2025-11-11 100326.png","no_text","Vendendo na base (fundo). "
"captura etapa 1","Captura de ecr? 2025-11-11 100332.png","etapa1;entry","TIMING DE ENTRADA - ETAPA 1 Aguardando e vendendo no topo do negativo anterior: "
"captura etapa 1","Captura de ecr? 2025-11-11 100337.png","no_text",""
"captura etapa 1","Captura de ecr? 2025-11-11 100343.png","etapa1;entry","TIMING DE ENTRADA - ETAPA 1 Estudar os conceitos de Etapa 1 e suas aplicages  fundamental para refinar suas entradas no mercado. Quanto mais voc praticar esses conceitos em replays e aplic-los em dife"
"captura etapa 2","Captura de ecr? 2025-11-11 112829.png","etapa1;etapa2;fpleme;entry","TIMING DE ETAPA2 ENTRADA TIMING DE ENTRADA - ETAPA 2 Etapa2 AEtapa 2  uma estratgia de timing de mercado que pode ser identificada por meio da ferramenta FPLEME. Seu objetivo  permitir uma entrada aps"
"captura etapa 2","Captura de ecr? 2025-11-11 112836.png","etapa1;etapa2;fpleme;entry","Etapa 2 A Etapa 2  uma estratgia de timing de mercado que pode ser identificada por meio da ferramenta FPLEME. Seu objetivo  permitir uma entrada aps 0 incio de um novo ciclo de mercado. Ou seja, se v"
"captura etapa 2","Captura de ecr? 2025-11-11 112847.png","etapa2;fpleme;shark;entry","Alm dessa condigo, um complemento importante para a leitura : para ser considerada Etapa 2 Compradora, o Shark tambm deve estar azul. Na maioria das vezes, quando o mercado estiver em Etapa 2 Comprado"
"captura etapa 2","Captura de ecr? 2025-11-11 112852.png","entry","Propriedades de Estratgia Parmetros Entradas oe mo 14000, RAPIDO. RESIN RESUME ON TOP. Imagem: XR -> Nao Propriedades de Estratgia Parmetros tn oF ALTONUSAO Rese Rese Imagem: Modo Rapido-> Nao"
